"","Partie","Concordance moyenne des valeurs théoriques","Écart type de la concordance moyenne des valeurs théoriques"
"1","1",78.0350649905194,23.5290764481375
"2","2",74.6888390548311,15.0843675956341
"3","3",83.1315577137778,19.7717186185239
"4","4",79.0822812767602,17.0119453308275
"5","5",87.1408151504853,16.2980682081509
"6","6",74.8853661313516,17.2823128943014
"7","7",93.3997470492875,10.470299942635
"8","8",84.3644276456183,8.82981796682427
"9","9",90.6435904515693,14.7208020033789
"10","10",76.9601883089387,13.7299617927908
"11","11",74.3006792522008,14.3254574273761
"12","12",77.081620598877,14.3832241926059
"13","13",76.4973484274238,14.2372511647552
"14","14",73.9022739613143,17.869546720132
"15","15",64.1613487910218,13.375147775864
"16","16",80.6792456559783,16.0944184395857
"17","17",77.4003092475427,8.9413216703059
"18","18",74.0807152420697,16.8360661390567
"19","19",78.9319142810335,12.903944500732
"20","20",70.9006123324209,8.57684221549823
"21","21",86.0363204501242,9.99001405635897
"22","22",86.8483974087606,20.6046392870357
"23","23",93.4320129506501,22.769579801066
"24","24",71.9708379419632,7.67366116306445
"25","25",85.0494809485961,31.9347270422534
"26","26",77.4646774799774,14.1108953393445
"27","27",73.2229925409223,12.660158373676
"28","28",73.1367810162753,14.5930463803483
"29","29",75.6932744643509,10.9517970562408
"30","30",81.9897987339914,12.6496875625508
"31","31",67.6130294133297,6.76864292240593
"32","32",78.3493995908593,8.02157568747953
"33","33",76.3827427557966,15.023759413259
"34","34",97.9265278866982,22.00245698184
"35","35",80.4403934750906,7.73686358527862
"36","36",77.4646774799774,14.1108953393445
"37","37",89.1290413404737,12.6621894747854
"38","38",84.7162678976657,21.9040810652308
"39","39",94.5712915391324,10.1619362285288
"40","40",78.5851888210218,9.32895629360673
"41","41",78.3357123882779,23.5015860663722
"42","42",77.4646774799774,14.1108953393445
"43","43",102.385899381639,2.81119553621356
"44","44",89.2891087629051,13.1249996406761
"45","45",80.8615264341703,22.63035027437
"46","46",89.2891087629051,13.1249996406761
"47","47",87.1949359598338,15.2675141913415
"48","48",88.5662299328628,13.8048243744553
"49","49",88.3594000781015,12.0327460869935
"50","50",88.1805022090545,13.6434139515344
