"","Partie","Concordance moyenne des valeurs théoriques","Écart type de la concordance moyenne des valeurs théoriques"
"1","1",95.5615311704253,23.2744198819672
"2","2",100.982506953208,11.3724298646377
"3","3",102.628395087106,18.5442299857763
"4","4",104.484632231997,12.3057676372997
"5","5",108.970279620497,11.7756422491597
"6","6",91.2989042138026,19.0995257102831
"7","7",110.322908063206,5.9859183146768
"8","8",97.1718134080779,6.41231274571711
"9","9",103.642379841166,10.094610426058
"10","10",96.4531446663316,10.1293040434334
"11","11",97.4316739810557,18.2569877254479
"12","12",95.9823357379467,11.471452471778
"13","13",97.7624229642637,13.987288757745
"14","14",100.048740474105,16.4074714492172
"15","15",94.2657268091461,10.1257958158481
"16","16",98.4095261388308,7.61603142654014
"17","17",99.3884538859806,6.97096789516315
"18","18",96.2497368761054,15.4193076695559
"19","19",102.991863991325,9.35255779010092
"20","20",94.5635930366454,9.88404958316657
"21","21",103.564898409644,11.5780343329456
"22","22",103.317817560136,16.8163660058405
"23","23",110.948900614274,13.1174659508665
"24","24",102.014484238571,13.4744558906572
"25","25",96.1878328621952,25.8825349437096
"26","26",94.7801793856171,11.5046910712676
"27","27",99.9715309512729,8.69266229573781
"28","28",103.565653646154,9.3270482229967
"29","29",99.2789047809836,13.1513940386424
"30","30",98.8126344537581,13.0418355196929
"31","31",105.020188676949,12.191063277424
"32","32",98.9182244193139,6.56863251264586
"33","33",96.6086471811247,16.2062175810243
"34","34",110.266894177772,17.1902581743301
"35","35",104.920172134544,9.3328608966851
"36","36",94.7801793856171,11.5046910712676
"37","37",107.871807956455,8.46956321211945
"38","38",106.285525003922,15.3542032614479
"39","39",103.080775223472,5.52379549159139
"40","40",97.561554089361,6.31172627692583
"41","41",105.793461163471,21.1440209157759
"42","42",94.7801793856171,11.5046910712676
"43","43",102.385899381639,2.81119553621356
"44","44",107.687741176555,7.89232262469355
"45","45",96.0605760283469,16.9973253018144
"46","46",107.687741176555,7.89232262469355
"47","47",105.04841389075,9.83567941089079
"48","48",111.986327165319,13.9813559113531
"49","49",109.191887796964,10.3808154505543
"50","50",103.970742414216,11.1929370927167
