"","Partie","Concordance moyenne des valeurs théoriques","Écart type de la concordance moyenne des valeurs théoriques"
"1","1",81.0180737020969,23.4793874864576
"2","2",81.994654627944,14.0132792193058
"3","3",86.2203861458643,20.1569985418835
"4","4",84.6349935534088,15.6592316271424
"5","5",91.4540205074805,15.0644787441256
"6","6",77.9050459216883,18.1812524690831
"7","7",96.7711616806886,9.03063713122918
"8","8",86.4952511999399,8.26684637755384
"9","9",93.3700165378597,13.8895312056208
"10","10",80.3153672348448,12.4375174502133
"11","11",78.6944685123656,15.4061239397837
"12","12",80.094846261699,14.1608801760168
"13","13",80.6866734785516,14.0064657457905
"14","14",80.4959742990553,18.0196799137798
"15","15",70.2348087635107,12.4490164820733
"16","16",86.461006661288,10.6319130655552
"17","17",81.3322185080122,8.32117471213945
"18","18",78.6692946071469,15.1516732360582
"19","19",84.0742900657801,11.0215424111498
"20","20",75.2665643917578,7.50031159633788
"21","21",89.5613303895241,10.6375926370304
"22","22",90.5187594092811,19.3502666053114
"23","23",97.4613844996751,19.9051612690043
"24","24",79.1945180707909,10.030443579439
"25","25",86.4892526390699,31.1200735170479
"26","26",81.1452911955293,12.8040713656562
"27","27",77.8008816690234,11.5116519667346
"28","28",79.2904126782799,12.3741899544301
"29","29",81.082168320321,11.9874107645541
"30","30",84.9160075523311,12.3900935241139
"31","31",77.8651847825176,9.2088203183615
"32","32",81.8860988359966,6.77052759347012
"33","33",80.6866383507765,14.4095706311189
"34","34",100.47390386958,20.9617068149908
"35","35",86.1168643585312,7.3442437697803
"36","36",81.1452911955293,12.8040713656562
"37","37",92.8822174126222,11.7423426254893
"38","38",88.284834605103,20.3492782421539
"39","39",95.6929102153821,9.32911426391979
"40","40",81.7611100912843,8.89459780390412
"41","41",85.2071609304524,21.9759985782099
"42","42",81.1452911955293,12.8040713656562
"43","43",102.385899381639,2.81119553621356
"44","44",92.922053441219,12.2546581557618
"45","45",82.8869123809684,21.9545007462408
"46","46",92.922053441219,12.2546581557618
"47","47",90.036774830132,14.0875996603335
"48","48",93.5646066172375,13.9539065077171
"49","49",93.2872837539576,12.1294402875689
"50","50",91.2273722872269,12.7330805362531
